new_ratio,ewc_lambda,t1,t2,t3,t4,t5,t6,t7,t8,t9
0.4,1000000000.0,0.350117,0.359034,0.362748,0.363383,0.365973,0.366339,0.369344,0.368660,0.372056
0.4,10000000000.0,0.345109,0.357471,0.363750,0.361526,0.363310,0.366730,0.366071,0.369320,0.369149
0.5,0.1,0.347088,0.308609,0.317624,0.316916,0.321729,0.322462,0.327446,0.332210,0.336045
0.5,1.0,0.345085,0.317844,0.328154,0.323439,0.329205,0.330524,0.331990,0.335166,0.341200
0.5,10.0,0.342593,0.317820,0.327470,0.318821,0.321118,0.327397,0.328960,0.338342,0.337389
0.5,100.0,0.342715,0.328594,0.337609,0.330670,0.331281,0.331477,0.335483,0.341151,0.345109
0.5,1000.0,0.350508,0.348309,0.348065,0.341738,0.341738,0.345598,0.345524,0.348236,0.352023
0.5,10000.0,0.346086,0.346966,0.353733,0.346428,0.351314,0.350997,0.353196,0.353953,0.353318
0.5,100000.0,0.344987,0.351681,0.356909,0.356323,0.354930,0.358741,0.360012,0.360134,0.361111
0.5,1000000.0,0.345427,0.355858,0.362382,0.360549,0.364702,0.365118,0.367659,0.370468,0.371177
0.5,10000000.0,0.342910,0.352536,0.358375,0.358839,0.360916,0.364360,0.365118,0.368831,0.369369
0.5,100000000.0,0.343252,0.352829,0.358961,0.357007,0.362479,0.363823,0.366730,0.365753,0.369222
0.5,1000000000.0,0.345915,0.355761,0.360232,0.360451,0.363408,0.366339,0.367536,0.368782,0.369466
0.5,10000000000.0,0.343008,0.350679,0.358863,0.357056,0.358326,0.360647,0.363554,0.364727,0.367146
0.6,0.1,0.341005,0.318870,0.326029,0.326517,0.328349,0.330157,0.335337,0.337267,0.338781
0.6,1.0,0.345451,0.320361,0.327201,0.323561,0.331379,0.331965,0.337535,0.338610,0.341982
0.6,10.0,0.342299,0.327641,0.334335,0.323879,0.331403,0.332796,0.338562,0.342910,0.343887
0.6,100.0,0.345866,0.332063,0.341078,0.335361,0.334530,0.334433,0.339294,0.342397,0.346086
0.6,1000.0,0.345158,0.337609,0.347405,0.336778,0.340272,0.343839,0.344156,0.346966,0.349751
0.6,10000.0,0.343741,0.348016,0.350899,0.349629,0.352267,0.354832,0.355883,0.357935,0.358595
0.6,100000.0,0.347992,0.352878,0.356640,0.358912,0.360476,0.360598,0.363945,0.366144,0.366022
0.6,1000000.0,0.340785,0.349189,0.358473,0.358497,0.359938,0.362406,0.362357,0.366071,0.368709
0.6,10000000.0,0.342446,0.353147,0.359034,0.360671,0.362259,0.364776,0.367292,0.366901,0.370199
0.6,100000000.0,0.344352,0.352609,0.359767,0.359230,0.363212,0.365802,0.365338,0.368709,0.368905
0.6,1000000000.0,0.346159,0.350972,0.359083,0.358790,0.361771,0.365411,0.366535,0.367390,0.371421
0.6,10000000000.0,0.341689,0.351046,0.357373,0.360207,0.362626,0.363237,0.364922,0.366974,0.368049
0.7,0.1,0.345500,0.326859,0.340369,0.336680,0.338684,0.338708,0.343863,0.349067,0.350239
